Sample ID,Date,Season,Year,Collector,PlantCondition,PlantPortion,WhoCleaned/Dried,Strata,Habitat,SiteCode,Site,Pair,SiteType,PairID,Taxa,SampleType,Species,SppAb,Iso_Triplicate?,TrayName,%N,ugN ,D15N ,%C,mgC,D13C ,%S,ugS,D34S ,CSIB_Notes,UCB_Notes,Inventory_Notes
NB21.018,6/23/21,Summer,2021,ICF,,,UCB,INT5,Interior,RY,Ryer,P3,Ref,P3_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,2.411534247,105.3840466,11.30051191,13.7053913,0.5989256,-26.64819568,0.39797413,17.3914695,9.705258056,,,0
NB21.029,2/5/21,Winter,2021,ICF,,,UCB,INT1,Interior,RY,Ryer,P3,Ref,P3_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.463637192,20.0754904,5.748447048,5.949124711,0.2575971,-26.85726541,0.363309434,15.7312985,-0.006552309,,,0
NB20.005,5/15/20,Summer,2020,ICF,,,UCB,INT6,Interior,TR,Tule Red,P3,Res,P3_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.473811866,19.7816454,6.495257104,5.867662275,0.2449749,-26.97752241,0.181703389,7.5861165,2.307397505,,,0
NB20.027,3/5/20,Winter,2020,UCB,,,UCB,INT,Interior,TR,Tule Red,P3,Res,P3_Res,Phyto,Phyto,Phytoplankton,Phyto,Yes,Nphyto_T01,0.483333333,20.66666667,7.126666667,5.62,0.243333333,-28.30666667,0.143333333,6.333333333,1.033333333,,,says 50um net and phyto+spom on bag 
NB21.012,6/24/21,Summer,2021,ICF,,,UCB,INT2,Interior,TR,Tule Red,P3,Res,P3_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,1.032913758,45.2932683,10.62133124,7.497730901,0.3287755,-26.09606364,0.310315393,13.60733,6.213394745,,,0
NB21.028,2/8/21,Winter,2021,ICF,,,UCB,INT5,Interior,TR,Tule Red,P3,Res,P3_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.662671138,26.9044482,6.625031292,6.194539409,0.2514983,-28.39455577,0.202735308,8.2310535,2.537539951,,,0
NP21.313,7/7/21,Summer,2021,USGS,green,algae,UCB,EXT4,Exterior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,3.077041376,48.3095496,12.68791001,37.9084586,0.5951628,-19.28909249,2.638862745,41.4301451,21.98963764,,0,0
NP21.305,6/22/21,Summer,2021,usgs,Green,Algae,UCB,EXT5,Exterior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.444083613,66.6612542,13.66749155,36.89496,0.5534244,-19.21861199,1.527262193,22.9089329,19.64279708,,0,0
NP20.373,6/4/20,Summer,2020,0,Green,Algae (fine and hard to clean),UCB,EXT3,Exterior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,3.307803618,52.7594677,13.97896384,43.98384953,0.7015424,-21.16546234,2.205481342,35.1774274,21.52653171,,0,IDed after frozen by UCB
NP21.307,6/23/21,Summer,2021,USGS,green,algae,UCB,EXTB,Exterior,TR,Tule Red,P3,Res,P3_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.608723313,83.2895412,13.94609157,39.31259259,0.583792,-20.11896992,1.425144909,21.1634019,19.3540652,,0,0
NP20.410,5/20/20,Summer,2020,0,Green,Algae,UCB,EXT3,Exterior,TR,Tule Red,P3,Res,P3_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.143498968,64.224234,15.10712868,37.7512,0.5851436,-19.30984739,1.474141929,22.8491999,19.94823029,,0,"IDed after frozen by UCB; kiny knots and small bits, a bit different then what normally see"
NP20.457/456,5/1/20,Summer,2020,ICF,Brown/Green,Sludgy/NA,UCB,EXT1,Exterior,TR,Tule Red,P3,Res,P3_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,2.722713694,43.5634191,12.62000428,21.883675,0.3501388,-21.12266706,0.667599238,10.6815878,18.46356776,,#N/A,"brown, sludgy, may be more biofilm than algae/ Very small sample"
NP20.409,5/20/20,Summer,2020,0,Green,Algae,UCB,EXT6,Exterior,TR,Tule Red,P3,Res,P3_Res,SAV-Algae,Algae,Green Algae,Algae,Y,Nalgae_T01,4.649255152,73.07245743,19.57937558,38.38770272,0.603338533,-22.33244252,1.373392165,21.58595757,19.94495358,,#N/A,IDed after frozen by UCB
NP21.357,6/17/21,Summer,2021,USGS/UCB,Green,Algae,UCB,INT3,Interior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.522788534,66.9372703,13.89045582,36.4937027,0.5401068,-19.50157323,1.527631115,22.6089405,19.62879976,,0,0
NP20.403,6/4/20,Summer,2020,USGS,Green,Algae,UCB,INT5,Interior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,3.819055181,59.1953553,12.45957477,36.1656,0.5605668,-24.15454295,1.538413781,23.8454136,20.33122497,,0,Vial says RYINT1 but bag says RYINT5
NP20.371,6/17/20,Summer,2020,0,Green,Algae,UCB,INT6,Interior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.486881503,83.949287,12.74028861,39.52763399,0.6047728,-20.83465644,1.481786163,22.6713283,19.54169799,,0,IDed after frozen by UCB
NP21.341,6/17/21,Summer,2021,0,Green,algae,UCB,INT4,Interior,TR,Tule Red,P3,Res,P3_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.086714537,79.6070825,10.41476197,39.11110543,0.6120888,-23.66583092,2.555181387,39.9885887,20.66165432,,0,0
NP21.362,6/7/21,Summer,2021,USGS,Green,Algae,UCB,INT1,Interior,TR,Tule Red,P3,Res,P3_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.832147609,89.5234658,12.52466123,40.42884691,0.6205828,-21.72952676,1.490838827,22.884376,19.75493454,,0,0
NP21.284,5/1/21,Summer,2021,USGS,brown,fleshy stems,USGS,EXT4,Exterior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,1.743311424,55.6988,11.61900678,36.63030986,1.1703384,-17.60014056,0.276324006,8.828552,20.50302543,,Very little sample left,0
NP21.074,6/24/21,Summer,2021,USGS/UCB,0,0,UCB,EXT3,Exterior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,2.947903692,91.8272,10.13461512,37.24095024,1.1600556,-15.06854235,0.708582665,22.07235,17.33973471,,0,0
NP21.285,5/1/21,Summer,2021,USGS,brown,fleshy stems,USGS,EXT3,Exterior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,1.423050633,44.9684,12.56547636,35.11241772,1.1095524,-16.50999557,0.225991582,7.141334,20.16755677,,0,0
NP20.309,6/4/20,Summer,2020,ICF,Medium and dark green,Leaves,UCB,EXT6,Exterior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,2.868422047,91.0724,12.17270716,42.06954331,1.335708,-17.27405539,0.16812926,5.338104,17.71662126,,0,IDed after frozen by UCB
NP20.358,6/4/20,Summer,2020,USGS,Green,Leaves,UCB,INT5,Interior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,6.068451613,188.122,9.407191062,46.97411613,1.4561976,-23.91135723,0.31153271,9.657514,13.20433719,,Very little sample left,IDed after frozen by UCB
NP20.357,6/4/20,Summer,2020,ICF,"Green, very smelly",Leaves,UCB,INT1,Interior,RY,Ryer,P3,Ref,P3_Ref,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,2.66266878,84.0072,10.93571036,41.13044691,1.2976656,-19.92742026,0.174520063,5.506108,17.3470152,,0,IDed after frozen by UCB
